Month,post_covid,year,median_wait,92_wait,within_18,greater_18,greater_52,greater_65,greater_78,greater_104,total_waiting,unique_patients,admitted_median,admitted_95,admitted_within_18,admitted_greater_18,total_admitted,non_admitted_median,non_admitted_95,non_admitted_within_18,non_admitted_greater_52,non_admitted_total,No. of new RTT periods,No. of new RTT periods with estimates for missing data,admitted_adjustment_median,admitted_adjusted_95,admitted_adjusted_within_18,admitted_adjusted_greater_52,admitted_adjusted_total,,,,,
01/11/2021,1.00,2021,11.50,42.88,3933682.00,2067994.00,307214.00,148492.00,87437.00,18596.00,6001676.00,5007218.32,11.20,67.04,175797.00,25565.00,275982.00,7.11,44.60,870475.00,38651.00,1144520.00,1683913.00,1683913.00,,,,,,,,,,
01/12/2021,1.00,2021,12.49,43.45,3876780.00,2194513.00,310943.00,155902.00,80121.00,20080.00,6071293.00,5062719.42,10.00,64.67,150073.00,19108.00,225423.00,6.60,43.42,728805.00,31602.00,944504.00,1428240.00,1428240.00,,,,,,,,,,
01/01/2022,1.00,2022,13.13,44.50,3826817.00,2301176.00,317491.00,163160.00,77566.00,24424.00,6127993.00,5145558.96,11.27,66.44,147118.00,19495.00,228477.00,8.11,46.51,762649.00,38948.00,1021768.00,1518507.00,1518507.00,,,,,,,,,,
01/02/2022,1.00,2022,13.19,44.12,3862282.00,2348849.00,306479.00,156787.00,69275.00,22637.00,6211131.00,5220209.64,12.34,69.34,153386.00,22923.00,248845.00,7.83,46.70,755887.00,37870.00,1018365.00,1552698.00,1552698.00,,,,,,,,,,
01/03/2022,1.00,2022,12.22,44.43,3956489.00,2409283.00,310067.00,144772.00,63397.00,16947.00,6365772.00,5322469.33,12.43,70.32,172003.00,26455.00,282348.00,6.94,46.30,862387.00,41827.00,1157241.00,1786268.00,1786268.00,,,,,,,,,,
01/04/2022,1.00,2022,12.57,45.01,4026852.00,2500297.00,324422.00,141816.00,63777.00,12758.00,6527149.00,5446769.73,11.43,65.68,143450.00,19904.00,236174.04,7.00,46.48,702523.00,32949.00,947571.35,1495453.00,1506593.61,,,,,,,,,,
01/05/2022,1.00,2022,12.71,45.26,4239012.00,2429087.00,333303.00,136903.00,59903.00,8057.00,6668099.00,5542877.02,12.37,67.57,172572.00,26499.00,282934.16,7.88,47.95,821538.00,42590.00,1113600.53,1740851.00,1748836.53,,,,,,,,,,
01/06/2022,1.00,2022,13.25,45.71,4230275.00,2559809.00,357761.00,142042.00,54108.00,3875.00,6790084.00,5556773.16,12.67,68.74,161208.00,25966.00,266529.58,7.78,48.77,760633.00,41500.00,1042332.26,1604839.00,1612444.26,,,,,,,,,,
01/07/2022,1.00,2022,13.25,45.93,4238350.00,2699175.00,381384.00,149770.00,52128.00,2890.00,6937525.00,5780950.52,11.98,64.68,162238.00,24627.00,267704.46,7.55,48.81,743003.00,41846.00,1028069.58,1602408.00,1623110.08,,,,,,,,,,
01/08/2022,1.00,2022,13.78,46.38,4299541.00,2773250.00,390852.00,157812.00,51200.00,2651.00,7072791.00,5820553.85,11.95,65.01,168932.00,25425.00,277075.60,7.71,50.16,766941.00,47908.00,1067559.10,1649719.00,1663041.10,,,,,,,,,,
01/09/2022,1.00,2022,13.97,46.84,4245061.00,2896889.00,405209.00,166794.00,50853.00,2250.00,7141950.00,5971931.76,12.56,66.73,169303.00,27326.00,281822.30,8.57,51.53,768691.00,52633.00,1090553.05,1631921.00,1644637.55,,,,,,,,,,
01/10/2022,1.00,2022,13.87,46.53,4306329.00,2907853.00,411274.00,169525.00,50177.00,1906.00,7214182.00,6021724.39,12.46,66.42,170975.00,27344.00,285743.30,8.61,52.45,772075.00,56249.00,1117730.05,1660239.00,1693540.55,,,,,,,,,,
01/11/2022,1.00,2022,13.62,45.31,4284596.00,2903352.00,406799.00,159440.00,49005.00,1420.00,7187948.00,6045409.96,12.31,66.75,184480.00,30470.00,308940.98,8.58,53.59,843738.00,65932.00,1234011.72,1742711.00,1777598.34,,,,,,,,,,
01/12/2022,1.00,2022,14.37,46.30,4148624.00,3051409.00,405930.00,166201.00,54850.00,1222.00,7200033.00,6061108.20,11.03,64.89,150881.00,22246.00,242054.62,7.94,54.25,679478.00,53940.00,974091.38,1402495.00,1422099.76,,,,,,,,,,
01/01/2023,1.00,2023,14.64,46.55,4207644.00,3005476.00,379145.00,144969.00,45610.00,1108.00,7213120.00,6075843.74,12.48,69.31,174604.00,30077.00,287224.00,9.65,61.08,803647.00,84714.00,1192361.00,1720218.00,1720218.00,,,,,,,,,,
01/02/2023,1.00,2023,14.55,46.15,4223233.00,2994638.00,362434.00,122830.00,29756.00,1024.00,7217871.00,6080279.30,12.96,72.23,166553.00,33290.00,280383.00,9.44,60.94,753597.00,81023.00,1118905.00,1646172.00,1646172.00,,,,,,,,,,
01/03/2023,1.00,2023,14.13,45.55,4299276.00,3031910.00,359078.00,94444.00,10718.00,511.00,7331186.00,6115585.73,12.83,73.97,183234.00,38848.00,310709.00,7.91,57.58,843495.00,82459.00,1226053.00,1898949.00,1898949.00,,,,,,,,,,
01/04/2023,1.00,2023,13.79,46.03,4324159.00,3091193.00,371111.00,95135.00,11477.00,523.00,7415352.00,6173453.38,11.54,66.30,147669.00,25583.00,244079.00,7.93,55.97,680445.00,60395.00,977770.00,1520359.00,1520359.00,,,,,,,,,,
01/05/2023,1.00,2023,14.14,46.40,4446821.00,3028373.00,385027.00,96802.00,11446.00,482.00,7475194.00,6272080.35,12.42,66.58,173732.00,31985.00,288185.00,8.91,57.68,806636.00,78952.00,1168337.00,1744188.00,1744188.00,,,,,,,,,,
01/06/2023,1.00,2023,14.30,46.24,4483361.00,3091288.00,383083.00,97275.00,7177.00,314.00,7574649.00,6342033.00,12.32,67.03,183721.00,33725.00,302760.00,8.69,57.42,837890.00,82639.00,1217525.00,1833668.00,1833668.00,,,,,,,,,,
01/07/2023,1.00,2023,14.07,45.88,4498221.00,3176084.00,388505.00,96023.00,7079.00,263.00,7674305.00,6427169.23,11.26,65.37,172961.00,29481.00,279579.00,8.22,57.33,788903.00,78998.00,1147573.00,1752224.00,1752224.00,,,,,,,,,,
01/08/2023,1.00,2023,14.51,46.30,4494969.00,3250815.00,395170.00,108679.00,8680.00,249.00,7745784.00,6473234.73,11.17,65.47,177789.00,30406.00,285952.00,8.20,57.65,784057.00,78321.00,1136915.00,1729570.00,1729570.00,,,,,,,,,,
01/09/2023,1.00,2023,14.70,46.41,4474694.00,3293879.00,391107.00,109135.00,10200.00,227.00,7768573.00,6497073.20,11.83,66.66,174129.00,31179.00,283917.00,9.42,58.71,775875.00,86261.00,1167336.00,1710045.00,1713636.00,,,,,,,,,,
01/10/2023,1.00,2023,14.59,45.81,4481644.00,3222223.00,377315.00,107291.00,10508.00,190.00,7703867.00,6444931.30,12.22,66.91,183207.00,34382.00,301689.00,10.24,58.60,808898.00,98464.00,1253601.00,1778503.00,1778503.00,,,,,,,,,,
01/11/2023,1.00,2023,14.43,44.27,4435328.00,3178514.00,355712.00,94681.00,11215.00,227.00,7613842.00,6385173.05,12.48,67.78,190202.00,39201.00,319449.00,10.03,57.73,843436.00,97429.00,1306568.00,1792086.00,1792086.00,,,,,,,,,,
01/12/2023,1.00,2023,14.99,45.16,4304249.00,3303336.00,338070.00,98567.00,13191.00,283.00,7607585.00,6366070.48,11.41,66.31,153538.00,29096.00,250713.00,9.07,56.65,666059.00,68749.00,1002992.00,1448318.00,1448318.00,,,,,,,,,,
01/01/2024,1.00,2024,15.00,45.30,4321271.00,3254643.00,321394.00,92213.00,14013.00,376.00,7575914.00,6322938.10,12.58,67.90,183881.00,38279.00,308648.00,10.27,58.16,817903.00,89378.00,1262093.00,1808103.00,1808103.00,,,,,,,,,,
01/02/2024,1.00,2024,14.79,44.63,4338109.00,3198798.00,304919.00,75004.00,9969.00,252.00,7536907.00,6294402.76,13.20,68.70,176019.00,40381.00,301266.00,10.11,56.71,764243.00,82367.00,1175101.00,1745503.00,1745503.00,,,,,,,,,,
01/03/2024,1.00,2024,14.87,44.67,4312728.00,3226102.00,309299.00,48967.00,4769.00,232.00,7538830.00,6288564.33,12.98,69.52,176425.00,42198.00,301999.00,8.79,56.16,743773.00,77371.00,1127573.00,1674503.00,1674503.00,,,,,,,,,,
01/04/2024,1.00,2024,13.91,44.76,4411134.00,3161429.00,302589.00,50397.00,5013.00,275.00,7572563.00,6327245.17,11.89,64.31,184249.00,36706.00,310373.00,9.11,55.39,774271.00,75229.00,1170779.00,1757699.00,1757699.00,,,,,,,,,,
01/05/2024,1.00,2024,14.20,44.95,4493966.00,3109846.00,307500.00,55955.00,4597.00,259.00,7603812.00,6377598.51,11.81,64.68,190527.00,37224.00,312925.00,9.30,56.23,809288.00,83202.00,1209902.00,1792092.00,1792092.00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
