Region Code,Org Code,Org Name,Treatment Function Code,Treatment Function,>0-1,>1-2,>2-3,>3-4,>4-5,>5-6,>6-7,>7-8,>8-9,>9-10,>10-11,>11-12,>12-13,>13-14,>14-15,>15-16,>16-17,>17-18,>18-19,>19-20,>20-21,>21-22,>22-23,>23-24,>24-25,>25-26,>26-27,>27-28,>28-29,>29-30,>30-31,>31-32,>32-33,>33-34,>34-35,>35-36,>36-37,>37-38,>38-39,>39-40,>40-41,>41-42,>42-43,>43-44,>44-45,>45-46,>46-47,>47-48,>48-49,>49-50,>50-51,>51-52,>52-53,>53-54,>54-55,>55-56,>56-57,>57-58,>58-59,>59-60,>60-61,>61-62,>62-63,>63-64,>64-65,>65-66,>66-67,>67-68,>68-69,>69-70,>70-71,>71-72,>72-73,>73-74,>74-75,>75-76,>76-77,>77-78,>78-79,>79-80,>80-81,>81-82,>82-83,>83-84,>84-85,>85-86,>86-87,>87-88,>88-89,>89-90,>90-91,>91-92,>92-93,>93-94,>94-95,>95-96,>96-97,>97-98,>98-99,>99-100,>100-101,>101-102,>102-103,>103-104,104 plus,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_320,Cardiology Service, 63, 99, 82, 50, 76, 69, 64, 53, 60, 61, 50, 55, 44, 33, 18, 26, 17, 29, 18, 17, 13, 6, 12, 5, 7, 10, 7, 8, 9, 5, 5, 2, 3, 9, 4, 3, 3, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2,-, 1, 2, 1,-, 2,-,-,-,-, 1, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 1,117", 949,85.0%,8.0,25.1, 4,-,-
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_330,Dermatology Service, 113, 156, 126, 99, 103, 84, 104, 72, 50, 67, 68, 93, 76, 57, 70, 60, 49, 63, 47, 51, 61, 36, 28, 35, 34, 44, 38, 50, 33, 45, 32, 34, 33, 39, 27, 38, 4, 9, 10, 12, 9, 9, 6, 8, 13, 7, 7, 5, 4, 4, 3, 5,-, 2, 1, 1, 2,-,-, 1,-, 1, 1,-,-,-,-,-,-,-, 1,-,-,-,-,-, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 2,341"," 1,510",64.5%,12.5,34.1, 11,-, 2
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_340,Respiratory Medicine Service, 58, 73, 70, 32, 53, 54, 51, 34, 29, 40, 35, 24, 29, 20, 31, 16, 31, 30, 26, 18, 20, 17, 7, 25, 23, 17, 14, 23, 20, 13, 10, 17, 18, 14, 15, 12, 8, 7, 3, 4, 2, 5, 2, 6, 1, 2, 1, 4, 1, 2,-, 1,-,-, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 1,069", 710,66.4%,11.2,33.4, 1,-,-
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_400,Neurology Service, 51, 24, 63, 28, 17, 47, 33, 59, 13, 27, 35, 6, 18, 36, 9, 7, 20, 57, 21, 15, 13, 10, 5, 11, 13, 9, 12, 19, 18, 9, 15, 20, 20, 17, 15, 23, 26, 21, 23, 14, 16, 20, 19, 23, 16, 22, 11, 16, 23, 14, 17, 9, 14, 19, 13, 7, 10, 11, 17, 12, 12, 18, 27, 13, 16, 13, 15, 9, 15, 5, 2, 2,-,-, 1,-, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 1,357", 550,40.5%,28.0,62.4, 252,-, 63
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_410,Rheumatology Service, 25, 29, 25, 18, 22, 15, 14, 12, 10, 6, 9, 6, 2, 4, 5, 1, 1, 3, 3, 1, 1, 2,-, 2, 2, 3,-,-,-,-,-,-, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 222, 207,93.2%,4.6,17.1,-,-,-
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_430,Elderly Medicine Service, 13, 21, 23, 12, 17, 17, 10, 6, 4, 6, 5, 5, 3, 1, 1, 2,-,-,-,-, 2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 148, 146,98.6%,4.3,11.4,-,-,-
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_502,Gynaecology Service, 123, 135, 115, 113, 120, 121, 115, 100, 71, 62, 86, 85, 91, 79, 74, 63, 73, 121, 57, 64, 41, 31, 22, 29, 31, 27, 24, 32, 15, 23, 33, 30, 21, 23, 19, 20, 27, 11, 20, 24, 22, 20, 14, 18, 16, 10, 8, 13, 13, 13, 7, 8, 8, 5, 6, 6, 1, 3, 1, 1,-, 3, 3,-, 1,-,-, 1,-,-, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 2,573"," 1,747",67.9%,12.4,39.8, 40,-, 2
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),X02,Other - Medical Services, 109, 102, 98, 76, 122, 79, 101, 88, 57, 70, 64, 59, 72, 57, 63, 37, 41, 50, 58, 39, 30, 23, 16, 45, 33, 24, 27, 16, 18, 15, 11, 12, 24, 18, 12, 12, 5, 9, 6, 5, 8, 3, 4, 5, 4, 8, 1,-, 2, 1, 2, 4, 2, 2, 1, 1, 1, 1,-,-,-,-,-,-, 1,-, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 1,855"," 1,345",72.5%,10.4,31.6, 10,-, 1
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),X03,Other - Mental Health Services,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 1,-,-,-,-,-,-,-
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),X04,Other - Paediatric Services, 66, 75, 86, 79, 74, 83, 72, 65, 46, 65, 62, 63, 61, 53, 44, 42, 55, 55, 36, 48, 28, 32, 20, 38, 33, 33, 22, 16, 16, 16, 13, 11, 10, 8, 7, 14, 6, 4, 4, 6, 4, 5, 7, 5,-, 3, 5, 3, 2, 3, 8, 5, 2, 1, 2, 6, 1, 4, 4,-, 1, 2, 1, 6, 1,-,-,-, 1, 1, 2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 1,652"," 1,146",69.4%,11.8,33.2, 35,-, 4
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),X05,Other - Surgical Services, 72, 49, 55, 46, 42, 53, 41, 43, 17, 39, 28, 40, 22, 21, 24, 31, 24, 18, 11, 27, 21, 11, 6, 13, 11, 11, 7, 11, 16, 8, 9, 7, 14, 10, 10, 11, 9, 9, 8, 5, 8, 4, 7, 2, 7, 5, 5, 5, 5, 5, 7, 3, 4, 3, 3,-, 3, 4, 2, 1, 1, 1, 1,-, 1,-,-,-,-, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-, 999, 665,66.6%,11.4,41.3, 26, 1, 2
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),X06,Other - Other Services, 437, 405, 578, 359, 396, 291, 207, 203, 121, 155, 116, 48, 36, 32, 23, 25, 7, 7, 5, 5, 4, 3, 6, 9, 11, 4, 5, 14, 6, 2, 10, 5, 8, 5, 3, 5, 1, 8, 3, 3, 2, 5, 3, 5, 4, 4, 6, 2, 6, 6, 2, 3,-, 5,-, 1, 1, 1, 2, 2, 2, 1, 2,-, 1, 1,-,-, 3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-," 3,641"," 3,446",94.6%,4.1,12.9, 22,-, 4
Y63,02P,NHS BARNSLEY (SUB ICB LOCATION),C_999,Total," 1,982"," 2,295"," 2,378"," 1,673"," 1,990"," 1,783"," 1,637"," 1,447"," 1,026"," 1,149"," 1,252"," 1,134"," 1,044", 908, 888, 774, 762, 917, 622, 644, 583, 367, 240, 462, 509, 447, 421, 399, 347, 322, 336, 320, 293, 289, 262, 264, 207, 192, 180, 175, 172, 159, 125, 155, 125, 115, 126, 95, 111, 99, 94, 87, 61, 66, 63, 45, 37, 40, 38, 26, 33, 48, 46, 22, 27, 21, 22, 17, 21, 13, 14, 4, 3, 1, 1, 2, 4, 1,-, 2,-,-,-,-,-, 1,-,-,-,-,-,-,-,-,-, 1,-,-,-,-,-,-,-,-,-," 35,063"," 25,039",71.4%,10.1,36.4, 680, 4, 128
