Region Code,Region Name,Treatment Function,Total number of incomplete pathways,Total within 18 weeks,% within 18 weeks,within_18_per,Average (median) waiting time (in weeks),92nd percentile waiting time (in weeks),Total 52 plus weeks,Total 78 plus weeks,Total 65 plus weeks
Y58,SOUTH WEST COMMISSIONING REGION,Plastic Surgery Service,8217,5311,0.65,64.63,11.2262931,46.73702128,426,24,113
Y58,SOUTH WEST COMMISSIONING REGION,Cardiothoracic Surgery Service,301,164,0.54,54.49,15.375,51.41714286,20,2,8
Y58,SOUTH WEST COMMISSIONING REGION,General Internal Medicine Service,1273,911,0.72,71.56,10.85555556,32.72,15,0,4
Y58,SOUTH WEST COMMISSIONING REGION,Gastroenterology Service,30940,21493,0.69,69.47,10.64279238,39.50992366,921,8,134
Y58,SOUTH WEST COMMISSIONING REGION,Cardiology Service,40965,26354,0.64,64.33,12.54083969,40.64115226,1039,16,154
Y58,SOUTH WEST COMMISSIONING REGION,Dermatology Service,36637,23918,0.65,65.28,11.31335773,40.17419795,867,24,166
Y58,SOUTH WEST COMMISSIONING REGION,Respiratory Medicine Service,16531,11011,0.67,66.61,11.7600365,40.60273504,476,5,41
Y58,SOUTH WEST COMMISSIONING REGION,Neurology Service,22142,12390,0.56,55.96,15.50204918,44.55950617,829,1,72
Y58,SOUTH WEST COMMISSIONING REGION,Rheumatology Service,8602,6677,0.78,77.62,8.522900763,29.12,55,0,8
Y58,SOUTH WEST COMMISSIONING REGION,Elderly Medicine Service,3401,2631,0.77,77.36,9.125,29.81857143,14,0,0
Y58,SOUTH WEST COMMISSIONING REGION,Gynaecology Service,49036,27006,0.55,55.07,15.74024823,48.10175676,2677,54,478
Y58,SOUTH WEST COMMISSIONING REGION,Other - Medical Services,52699,37126,0.70,70.45,10.7075067,35.73451429,840,5,99
Y58,SOUTH WEST COMMISSIONING REGION,Other - Mental Health Services,114,95,0.83,83.33,9.6,23.88,1,0,0
Y58,SOUTH WEST COMMISSIONING REGION,Other - Paediatric Services,16565,10347,0.62,62.46,12.85420744,42.76448598,492,5,70
Y58,SOUTH WEST COMMISSIONING REGION,Other - Surgical Services,53783,33646,0.63,62.56,12.56061558,44.3935443,2179,41,414
Y58,SOUTH WEST COMMISSIONING REGION,Other - Other Services,8560,7098,0.83,82.92,6.83446712,27.67462687,91,1,17
Y58,SOUTH WEST COMMISSIONING REGION,Total,646005,401829,0.62,62.20,12.92240136,44.26684322,25853,513,4948
Y59,SOUTH EAST COMMISSIONING REGION,General Surgery Service,63331,37618,0.59,59.40,14.09353202,46.42532609,3246,124,1100
Y59,SOUTH EAST COMMISSIONING REGION,Urology Service,60639,36031,0.59,59.42,14.25945122,44.1926087,2418,43,564
Y59,SOUTH EAST COMMISSIONING REGION,Trauma and Orthopaedic Service,136034,81084,0.60,59.61,13.90279663,45.26660241,5969,229,1403
Y59,SOUTH EAST COMMISSIONING REGION,Ear Nose and Throat Service,107143,51723,0.48,48.27,18.85027599,54.19938889,10117,244,2772
Y59,SOUTH EAST COMMISSIONING REGION,Ophthalmology Service,98112,63213,0.64,64.43,12.48066667,42.1372562,3114,77,672
Y59,SOUTH EAST COMMISSIONING REGION,Oral Surgery Service,53447,26413,0.49,49.42,18.22797357,49.71377049,3566,72,775
Y59,SOUTH EAST COMMISSIONING REGION,Neurosurgical Service,3937,2107,0.54,53.52,16.73660714,50.19384615,266,2,61
Y59,SOUTH EAST COMMISSIONING REGION,Plastic Surgery Service,13457,7145,0.53,53.10,16.40353698,50.26384615,903,36,184
Y59,SOUTH EAST COMMISSIONING REGION,Cardiothoracic Surgery Service,399,317,0.79,79.45,8.45,35.08,3,0,0
Y59,SOUTH EAST COMMISSIONING REGION,General Internal Medicine Service,2788,2119,0.76,76.00,9.58677686,42.49666667,111,0,27
Y59,SOUTH EAST COMMISSIONING REGION,Gastroenterology Service,67233,37792,0.56,56.21,15.19205939,47.5632,3835,163,1082
Y59,SOUTH EAST COMMISSIONING REGION,Cardiology Service,63349,36676,0.58,57.90,14.86153396,43.7179562,2404,11,365
Y59,SOUTH EAST COMMISSIONING REGION,Dermatology Service,69702,45834,0.66,65.76,11.84171322,40.6375985,1523,1,248
Y59,SOUTH EAST COMMISSIONING REGION,Respiratory Medicine Service,30097,19191,0.64,63.76,13.04881974,40.72381818,599,3,47
Y59,SOUTH EAST COMMISSIONING REGION,Neurology Service,33478,17312,0.52,51.71,17.32825322,46.29679389,1463,11,251
Y59,SOUTH EAST COMMISSIONING REGION,Rheumatology Service,19961,12229,0.61,61.26,13.42263056,40.28305882,250,0,26
Y59,SOUTH EAST COMMISSIONING REGION,Elderly Medicine Service,2928,2436,0.83,83.20,6.638888889,27.03166667,5,0,0
Y59,SOUTH EAST COMMISSIONING REGION,Gynaecology Service,82110,46695,0.57,56.87,15.10603015,44.95389718,3327,40,528
