Offence category,Number
Violence against the person,22024
Sexual offences,14140
Robbery,5480
Theft offences,6491
Criminal damage and arson,938
Drug offences,11730
Possession of weapons,2337
Public order offences,1399
Miscellaneous crimes against society,2314
Fraud offences,646
Summary non-motoring,914
Summary motoring,230
Offence not recorded,286
